日志创建2021-06-26 获得经验：1924722,来源代号门派闯关
2021-06-26 余额4857648，获得银子：76528,来源代号门派闯关，银子余额4934176
2021-06-26 获得经验：1978186,来源代号门派闯关
2021-06-26 余额4934176，获得银子：78915,来源代号门派闯关，银子余额5013091
2021-06-26 余额5013091，获得银子：218000,来源代号门派闯关，银子余额5231091
2021-06-26 余额5231091，获得银子：20000,来源代号出售符石卷轴，银子余额5251091
2021-06-26 余额5251091，获得银子：20000,来源代号出售定魂珠，银子余额5271091
2021-06-26 余额5271091，获得银子：10000,来源代号出售玄武石，银子余额5281091
2021-06-26 余额5281091，获得银子：20000,来源代号出售金柳露，银子余额5301091
2021-06-26 余额5301091，获得银子：20000,来源代号出售花豆，银子余额5321091
2021-06-26 余额5321091，获得银子：60000,来源代号出售超级金柳露，银子余额5381091
2021-06-26 余额5381091，获得银子：100000,来源代号出售魔兽要诀，银子余额5481091
2021-06-26 余额5481091，获得银子：20000,来源代号出售金刚石，银子余额5501091
2021-06-26 余额5501091，获得银子：100000,来源代号出售魔兽要诀，银子余额5601091
2021-06-26 余额5601091，获得银子：20000,来源代号出售星辉石，银子余额5621091
2021-06-26 余额5621091，获得银子：20000,来源代号出售龙鳞，银子余额5641091
2021-06-26 [给予]给予(zhouhong1)道具：玲珑宝图
2021-06-26 获得经验：1125000,来源代号封妖
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额119989971，获得储备：213858,来源代号知了统领，储备余额120203829
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额120203829，获得储备：213858,来源代号知了统领，储备余额120417687
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额120417687，获得储备：213858,来源代号知了统领，储备余额120631545
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额120631545，获得储备：213858,来源代号知了统领，储备余额120845403
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额120845403，获得储备：213858,来源代号知了统领，储备余额121059261
2021-06-26 获得经验：9564300,来源代号知了统领
2021-06-26 余额121059261，获得储备：213858,来源代号知了统领，储备余额121273119
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额121273119，获得储备：190096,来源代号知了大王，储备余额121463215
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额121463215，获得储备：190096,来源代号知了大王，储备余额121653311
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额121653311，获得储备：190096,来源代号知了大王，储备余额121843407
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额121843407，获得储备：190096,来源代号知了大王，储备余额122033503
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额122033503，获得储备：190096,来源代号知了大王，储备余额122223599
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额122223599，获得储备：190096,来源代号知了大王，储备余额122413695
2021-06-26 获得经验：9136584,来源代号知了大王
2021-06-26 余额122413695，获得储备：190096,来源代号知了大王，储备余额122603791
2021-06-26 获得经验：9136584,来源代号知了大王
